"rules","support","confidence","coverage","lift","count"
"{age=Young,weight=Medium,reb=Low} => {ast=Low}",0.155257982957206,0.967892586106246,0.160408277928645,1.11984018711036,1658
"{age=Young,pts=Low,reb=Low} => {ast=Low}",0.208727408933421,0.966189856957087,0.216031463620189,1.11787014977733,2229
"{age=Young,pts=Low,ast=Low} => {reb=Low}",0.208727408933421,0.889110490626246,0.234759808970877,1.13006557122086,2229
"{age=Young,reb=Low,ast=Low} => {pts=Low}",0.208727408933421,0.904259634888438,0.230826856447233,1.2204990698905,2229
"{height=Medium,dreb_pct=Medium,ast_pct=Medium} => {ast=Low}",0.155070699503699,0.882258923814598,0.175765521116209,1.02076306039178,1656
"{ast=Low,dreb_pct=Medium,ast_pct=Medium} => {height=Medium}",0.155070699503699,0.833836858006042,0.185972469332334,1.20153067152159,1656
"{reb=Low,dreb_pct=Medium,ast_pct=Medium} => {ast=Low}",0.15048225489278,0.914106939704209,0.16462215563255,1.05761083522224,1607
"{ast=Low,dreb_pct=Medium,ast_pct=Medium} => {reb=Low}",0.15048225489278,0.809164149043303,0.185972469332334,1.02845321918989,1607
"{net_rating=Average,oreb_pct=Low,ast_pct=Medium} => {height=Medium}",0.151980522520835,0.902167871039466,0.168461466429441,1.2999933470288,1623
"{height=Medium,net_rating=Average,ast_pct=Medium} => {oreb_pct=Low}",0.151980522520835,0.815577889447236,0.186347036239348,1.42150420783532,1623
"{net_rating=Average,oreb_pct=Low,ast_pct=Medium} => {reb=Low}",0.154883416050192,0.919399666481378,0.168461466429441,1.1685633228225,1654
"{reb=Low,net_rating=Average,ast_pct=Medium} => {oreb_pct=Low}",0.154883416050192,0.849948612538541,0.182226800262197,1.4814103530764,1654
"{height=Medium,net_rating=Average,ast_pct=Medium} => {reb=Low}",0.159565502387864,0.856281407035176,0.186347036239348,1.08833957935356,1704
"{reb=Low,net_rating=Average,ast_pct=Medium} => {height=Medium}",0.159565502387864,0.875642343268243,0.182226800262197,1.26177095989226,1704
"{height=Medium,net_rating=Average,ast_pct=Medium} => {ast=Low}",0.166026781533851,0.890954773869347,0.186347036239348,1.03082405527094,1773
"{ast=Low,net_rating=Average,ast_pct=Medium} => {height=Medium}",0.166026781533851,0.801174875734297,0.207229141305366,1.15446586128276,1773
"{reb=Low,net_rating=Average,ast_pct=Medium} => {ast=Low}",0.165277647719824,0.906988694758479,0.182226800262197,1.04937511065285,1765
"{pts=Low,oreb_pct=Low,ast_pct=Medium} => {height=Medium}",0.176795580110497,0.902485659655832,0.195898492368199,1.30045126966194,1888
"{height=Medium,pts=Low,ast_pct=Medium} => {oreb_pct=Low}",0.176795580110497,0.825174825174825,0.214252270811874,1.43823110136151,1888
"{height=Medium,oreb_pct=Low,ast_pct=Medium} => {reb=Low}",0.242251147111153,0.930575539568345,0.260324000374567,1.18276793466441,2587
"{reb=Low,oreb_pct=Low,ast_pct=Medium} => {height=Medium}",0.242251147111153,0.91445740544362,0.264912444985486,1.31770214987619,2587
"{height=Medium,reb=Low,ast_pct=Medium} => {oreb_pct=Low}",0.242251147111153,0.878139850644942,0.275868527015638,1.53054602008117,2587
"{height=Medium,oreb_pct=Low,ast_pct=Medium} => {ast=Low}",0.227736679464369,0.874820143884892,0.260324000374567,1.01215648066595,2432
"{ast=Low,oreb_pct=Low,ast_pct=Medium} => {height=Medium}",0.227736679464369,0.906785980611484,0.25114711115273,1.3066478865133,2432
"{height=Medium,ast=Low,ast_pct=Medium} => {oreb_pct=Low}",0.227736679464369,0.800790253539677,0.284389924150201,1.3957302297291,2432
"{pts=Low,oreb_pct=Low,ast_pct=Medium} => {reb=Low}",0.193182882292349,0.986137667304015,0.195898492368199,1.25338778256839,2063
"{pts=Low,reb=Low,ast_pct=Medium} => {oreb_pct=Low}",0.193182882292349,0.801165048543689,0.241127446390111,1.39638347533835,2063
"{pts=Low,oreb_pct=Low,ast_pct=Medium} => {ast=Low}",0.188126229047664,0.960325047801147,0.195898492368199,1.11108463547871,2009
"{reb=Low,oreb_pct=Low,ast_pct=Medium} => {ast=Low}",0.236258076598932,0.891834570519618,0.264912444985485,1.03184196951018,2523
"{ast=Low,oreb_pct=Low,ast_pct=Medium} => {reb=Low}",0.236258076598932,0.940715883668904,0.25114711115273,1.19565638201621,2523
"{reb=Low,ast=Low,ast_pct=Medium} => {oreb_pct=Low}",0.236258076598932,0.824779339653481,0.286450042138777,1.43754179339963,2523
"{height=Medium,weight=Medium,ast_pct=Medium} => {ast=Low}",0.170240659237756,0.889867841409692,0.191310047757281,1.02956648736881,1818
"{height=Medium,pts=Low,ast_pct=Medium} => {reb=Low}",0.20516902331679,0.957604895104895,0.214252270811874,1.2171224321382,2191
"{pts=Low,reb=Low,ast_pct=Medium} => {height=Medium}",0.20516902331679,0.850873786407767,0.241127446390111,1.22608030833201,2191
"{height=Medium,pts=Low,ast_pct=Medium} => {ast=Low}",0.207135499578612,0.966783216783217,0.214252270811874,1.1185566600247,2212
"{pts=Low,ast=Low,ast_pct=Medium} => {height=Medium}",0.207135499578612,0.812936420433664,0.254799138496114,1.17141384884781,2212
"{height=Medium,reb=Low,ast_pct=Medium} => {ast=Low}",0.249180634890907,0.903258655804481,0.275868527015638,1.04505950003641,2661
"{height=Medium,ast=Low,ast_pct=Medium} => {reb=Low}",0.249180634890907,0.876193612117221,0.284389924150201,1.11364812946915,2661
"{reb=Low,ast=Low,ast_pct=Medium} => {height=Medium}",0.249180634890907,0.869892121608369,0.286450042138777,1.25348508523219,2661
"{weight=Medium,reb=Low,ast_pct=Medium} => {ast=Low}",0.159471860661111,0.921536796536797,0.17304991104036,1.06620709103103,1703
"{pts=Low,reb=Low,ast_pct=Medium} => {ast=Low}",0.233542466523083,0.968543689320388,0.241127446390111,1.12059350576949,2494
"{pts=Low,ast=Low,ast_pct=Medium} => {reb=Low}",0.233542466523083,0.916574788680632,0.254799138496114,1.16497288363729,2494
"{reb=Low,ast=Low,ast_pct=Medium} => {pts=Low}",0.233542466523083,0.815299117358614,0.286450042138777,1.10042710746621,2494
"{weight=Medium,dreb_pct=Medium,usg_pct=Medium} => {ast=Low}",0.161063770015919,0.929227444624527,0.17333083622062,1.07510507921401,1720
"{ast=Low,dreb_pct=Medium,usg_pct=Medium} => {weight=Medium}",0.161063770015919,0.815165876777251,0.197584043449761,1.16347987143869,1720
"{reb=Low,dreb_pct=Medium,usg_pct=Medium} => {ast=Low}",0.153853357055904,0.884760366182014,0.173892686581141,1.02365719939954,1643
"{height=Medium,oreb_pct=Low,usg_pct=Medium} => {reb=Low}",0.201704279426913,0.941845212068212,0.21415862908512,1.19709176620762,2154
"{reb=Low,oreb_pct=Low,usg_pct=Medium} => {height=Medium}",0.201704279426913,0.847364280094414,0.238037269407248,1.22102322859644,2154
"{height=Medium,reb=Low,usg_pct=Medium} => {oreb_pct=Low}",0.201704279426913,0.809774436090226,0.249086993164154,1.41138913057084,2154
"{ast=Low,oreb_pct=Low,usg_pct=Medium} => {height=Medium}",0.167150482254893,0.849595430747263,0.19674126790898,1.22423824112131,1785
"{pts=Low,oreb_pct=Low,usg_pct=Medium} => {reb=Low}",0.152074164247589,0.987234042553191,0.154040640509411,1.2547812830785,1624
"{ast=Low,oreb_pct=Low,usg_pct=Medium} => {reb=Low}",0.183912351343759,0.934792955735364,0.19674126790898,1.18812829972601,1964
"{height=Medium,weight=Medium,usg_pct=Medium} => {ast=Low}",0.164060305272029,0.913928012519562,0.179511190186347,1.05740381860199,1752
"{height=Medium,pts=Low,usg_pct=Medium} => {reb=Low}",0.168742391609701,0.937077483099324,0.180073040546868,1.19103194977597,1802
"{height=Medium,pts=Low,usg_pct=Medium} => {ast=Low}",0.166775915347879,0.926157046281851,0.180073040546868,1.0715526649235,1781
"{height=Medium,reb=Low,usg_pct=Medium} => {ast=Low}",0.205075381590037,0.823308270676692,0.249086993164154,0.952557857265048,2190
"{height=Medium,ast=Low,usg_pct=Medium} => {reb=Low}",0.205075381590037,0.850485436893204,0.241127446390111,1.08097286129285,2190
"{weight=Medium,pts=Low,usg_pct=Medium} => {ast=Low}",0.16218747073696,0.98074745186863,0.165371289446577,1.13471311359752,1732
"{weight=Medium,reb=Low,usg_pct=Medium} => {ast=Low}",0.172300777226332,0.932589964521034,0.18475512688454,1.0789954746609,1840
"{pts=Low,reb=Low,usg_pct=Medium} => {ast=Low}",0.214252270811874,0.925192074403558,0.23157599026126,1.07043620396052,2288
"{pts=Low,ast=Low,usg_pct=Medium} => {reb=Low}",0.214252270811874,0.873949579831933,0.245154040640509,1.11079594894373,2288
"{reb=Low,ast=Low,usg_pct=Medium} => {pts=Low}",0.214252270811874,0.800559832050385,0.267628055061335,1.0805331706858,2288
"{weight=Medium,ts_pct=LowEff,ast_pct=Low} => {pts=Low}",0.159284577207604,0.948160535117057,0.167993257795674,1.2797530781743,1701
"{pts=Low,ts_pct=LowEff,ast_pct=Low} => {weight=Medium}",0.159284577207604,0.878615702479339,0.181290382994662,1.25404131071597,1701
"{weight=Medium,ts_pct=LowEff,ast_pct=Low} => {ast=Low}",0.167993257795674,1,0.167993257795674,1.1569880823402,1794
"{ast=Low,ts_pct=LowEff,ast_pct=Low} => {weight=Medium}",0.167993257795674,0.878980891719745,0.191122764303774,1.25456254245859,1794
"{pts=Low,ts_pct=LowEff,ast_pct=Low} => {reb=Low}",0.159659144114617,0.880681818181818,0.181290382994662,1.11935267035987,1705
"{reb=Low,ts_pct=LowEff,ast_pct=Low} => {pts=Low}",0.159659144114617,0.979885057471264,0.162936604550988,1.32257236207478,1705
"{pts=Low,ts_pct=LowEff,ast_pct=Low} => {ast=Low}",0.181290382994662,1,0.181290382994662,1.1569880823402,1936
"{ast=Low,ts_pct=LowEff,ast_pct=Low} => {pts=Low}",0.181290382994662,0.948554630083293,0.191122764303774,1.2802849967972,1936
"{reb=Low,ts_pct=LowEff,ast_pct=Low} => {ast=Low}",0.162936604550988,1,0.162936604550988,1.1569880823402,1740
"{ast=Low,ts_pct=LowEff,ast_pct=Low} => {reb=Low}",0.162936604550988,0.852523272905439,0.191122764303774,1.08356296493182,1740
"{height=Medium,usg_pct=Low,ts_pct=LowEff} => {pts=Low}",0.153291506695383,0.999389499389499,0.153385148422137,1.3488979352857,1637
"{weight=Medium,usg_pct=Low,ts_pct=LowEff} => {pts=Low}",0.15020132971252,0.999376947040498,0.150294971439273,1.34888099310484,1604
"{pts=Low,usg_pct=Low,ts_pct=LowEff} => {reb=Low}",0.197864968630022,0.924321959755031,0.214064987358367,1.17481959155248,2113
"{reb=Low,usg_pct=Low,ts_pct=LowEff} => {pts=Low}",0.197864968630022,0.999526963103122,0.197958610356775,1.34908347307612,2113
"{pts=Low,usg_pct=Low,ts_pct=LowEff} => {ast=Low}",0.203670755688735,0.951443569553806,0.214064987358367,1.10080887099297,2175
"{ast=Low,usg_pct=Low,ts_pct=LowEff} => {pts=Low}",0.203670755688735,0.99954044117647,0.203764397415488,1.34910166472744,2175
"{reb=Low,usg_pct=Low,ts_pct=LowEff} => {ast=Low}",0.188126229047664,0.950331125827815,0.197958610356775,1.09952178685972,2009
"{ast=Low,usg_pct=Low,ts_pct=LowEff} => {reb=Low}",0.188126229047664,0.923253676470588,0.203764397415488,1.17346179612347,2009
"{height=Medium,dreb_pct=Medium,ts_pct=LowEff} => {reb=Low}",0.155445266410713,0.906608410704533,0.171458001685551,1.15230554843058,1660
"{height=Medium,dreb_pct=Medium,ts_pct=LowEff} => {ast=Low}",0.154602490869932,0.901693063899508,0.171458001685551,1.04324812886055,1651
"{weight=Medium,dreb_pct=Medium,ts_pct=LowEff} => {pts=Low}",0.162749321097481,0.886282508924018,0.183631426163498,1.19623494853382,1738
"{weight=Medium,dreb_pct=Medium,ts_pct=LowEff} => {reb=Low}",0.160970128289166,0.876593574706782,0.183631426163498,1.11415648468147,1719
"{weight=Medium,dreb_pct=Medium,ts_pct=LowEff} => {ast=Low}",0.176140088023223,0.959204487506374,0.183631426163498,1.10978816057211,1881
"{ast=Low,dreb_pct=Medium,ts_pct=LowEff} => {weight=Medium}",0.176140088023223,0.801107325383305,0.21987077441708,1.14341421114252,1881
"{pts=Low,dreb_pct=Medium,ts_pct=LowEff} => {reb=Low}",0.197958610356775,0.936226749335695,0.211443019009271,1.18995066128968,2114
"{reb=Low,dreb_pct=Medium,ts_pct=LowEff} => {pts=Low}",0.197958610356775,0.929230769230769,0.213034928364079,1.25420315781286,2114
"{pts=Low,dreb_pct=Medium,ts_pct=LowEff} => {ast=Low}",0.202827980147954,0.95925597874225,0.21144301900927,1.10984773531836,2166
"{ast=Low,dreb_pct=Medium,ts_pct=LowEff} => {pts=Low}",0.202827980147954,0.922487223168654,0.21987077441708,1.24510124573029,2166
"{reb=Low,dreb_pct=Medium,ts_pct=LowEff} => {ast=Low}",0.198239535537035,0.930549450549451,0.213034928364079,1.07663462431393,2117
"{ast=Low,dreb_pct=Medium,ts_pct=LowEff} => {reb=Low}",0.198239535537035,0.901618398637138,0.21987077441708,1.14596320864627,2117
"{pts=Low,net_rating=Average,ts_pct=LowEff} => {reb=Low}",0.174548178668415,0.911491442542787,0.191497331210788,1.15851191560514,1864
"{reb=Low,net_rating=Average,ts_pct=LowEff} => {pts=Low}",0.174548178668415,0.900048285852245,0.193932016106377,1.21481491969365,1864
"{pts=Low,net_rating=Average,ts_pct=LowEff} => {ast=Low}",0.178574772918813,0.932518337408313,0.191497331210788,1.07891260294511,1907
"{ast=Low,net_rating=Average,ts_pct=LowEff} => {pts=Low}",0.178574772918813,0.909394372913686,0.196366701001966,1.22742953846629,1907
"{reb=Low,net_rating=Average,ts_pct=LowEff} => {ast=Low}",0.170521584418017,0.87928536938677,0.193932016106377,1.01732269335659,1821
"{ast=Low,net_rating=Average,ts_pct=LowEff} => {reb=Low}",0.170521584418017,0.868383404864092,0.196366701001966,1.10372130213564,1821
"{height=Medium,oreb_pct=Low,ts_pct=LowEff} => {pts=Low}",0.185691544152074,0.853270223752151,0.217623372974998,1.15167754290309,1983
"{pts=Low,oreb_pct=Low,ts_pct=LowEff} => {height=Medium}",0.185691544152074,0.86745406824147,0.214064987358367,1.24997193290388,1983
"{height=Medium,oreb_pct=Low,ts_pct=LowEff} => {reb=Low}",0.211349377282517,0.971170395869191,0.217623372974998,1.23436427725388,2257
"{reb=Low,oreb_pct=Low,ts_pct=LowEff} => {height=Medium}",0.211349377282517,0.869414483821264,0.243093922651934,1.25279682535788,2257
"{height=Medium,oreb_pct=Low,ts_pct=LowEff} => {ast=Low}",0.182133158535443,0.836919104991394,0.217623372974998,0.968305430357865,1945
"{ast=Low,oreb_pct=Low,ts_pct=LowEff} => {height=Medium}",0.182133158535443,0.878500451671183,0.207322783032119,1.26588939730085,1945
"{pts=Low,oreb_pct=Low,ts_pct=LowEff} => {reb=Low}",0.212379436276805,0.992125984251969,0.214064987358367,1.2609989747473,2268
"{reb=Low,oreb_pct=Low,ts_pct=LowEff} => {pts=Low}",0.212379436276805,0.873651771956857,0.243093922651934,1.17918696571376,2268
"{pts=Low,oreb_pct=Low,ts_pct=LowEff} => {ast=Low}",0.191778256391048,0.89588801399825,0.214064987358367,1.0365317553074,2048
"{ast=Low,oreb_pct=Low,ts_pct=LowEff} => {pts=Low}",0.191778256391048,0.925022583559169,0.207322783032119,1.24852327727861,2048
"{reb=Low,oreb_pct=Low,ts_pct=LowEff} => {ast=Low}",0.204232606049256,0.840138674884438,0.243093922651934,0.972030434354378,2181
"{ast=Low,oreb_pct=Low,ts_pct=LowEff} => {reb=Low}",0.204232606049256,0.98509485094851,0.207322783032119,1.25206235578185,2181
"{height=Medium,weight=Medium,ts_pct=LowEff} => {pts=Low}",0.161251053469426,0.859710434348477,0.187564378687143,1.16037003645189,1722
"{height=Medium,weight=Medium,ts_pct=LowEff} => {reb=Low}",0.163123888004495,0.869695456814778,0.187564378687143,1.10538892922221,1742
"{height=Medium,weight=Medium,ts_pct=LowEff} => {ast=Low}",0.176233729749977,0.939590614078882,0.187564378687143,1.08709514276797,1882
"{height=Medium,pts=Low,ts_pct=LowEff} => {reb=Low}",0.248337859350126,0.947142857142857,0.262196834909636,1.20382510966777,2652
